  0.465600549133347       0.478793788881306     
  0.552041955637524       0.567876348096890     
  0.497674541378267       0.511317329867154     
 minmax densities : 
  2.153835175550005E-017   11408.6223946762     
  0.000000000000000E+000   3602.70220784384     
  1.507666181297436E-012   113.464062639244     
         101 -9.255963134931783E+061  0.471466064453125     
         501 -9.255963134931783E+061  0.471878051757812     
        1001 -9.255963134931783E+061  0.472000122070312     
        1201 -9.255963134931783E+061  0.471984863281250     
         201 -9.255963134931783E+061  0.471588134765625     
         701 -9.255963134931783E+061  0.471740722656250     
         401 -9.255963134931783E+061  0.471817016601562     
        1301 -9.255963134931783E+061  0.471939086914062     
        1101 -9.255963134931783E+061  0.471893310546875     
         801 -9.255963134931783E+061  0.472076416015625     
         601 -9.255963134931783E+061  0.472106933593750     
           1 -9.255963134931783E+061  0.471313476562500     
        1401 -9.255963134931783E+061  0.472137451171875     
         301 -9.255963134931783E+061  0.471771240234375     
        1501 -9.255963134931783E+061  0.472351074218750     
         901 -9.255963134931783E+061  0.471710205078125     
           2  4.044798473651281E+052  0.471252441406250     
         102  4.044798473651281E+052  0.471527099609375     
        1202  4.044798473651281E+052  0.471954345703125     
         202  4.044798473651281E+052  0.471649169921875     
         302  4.044798473651281E+052  0.471862792968750     
        1302  4.044798473651281E+052  0.471969604492188     
        1102  4.044798473651281E+052  0.471878051757812     
         702  4.044798473651281E+052  0.471710205078125     
        1402  4.044798473651281E+052  0.471984863281250     
         602  4.044798473651281E+052  0.472076416015625     
         402  4.044798473651281E+052  0.471847534179688     
        1502  4.044798473651281E+052  0.472320556640625     
         902  4.044798473651281E+052  0.471771240234375     
         502  4.044798473651281E+052  0.471908569335938     
         802  4.044798473651281E+052  0.472061157226562     
        1002  4.044798473651281E+052  0.472030639648438     
           3  4.044798473651281E+052  0.471374511718750     
         103  4.044798473651281E+052  0.471618652343750     
        1203  4.044798473651281E+052  0.471969604492188     
         203  4.044798473651281E+052  0.471588134765625     
         303  4.044798473651281E+052  0.471832275390625     
           4  4.044798473651281E+052  0.471343994140625     
        1103  4.044798473651281E+052  0.471908569335938     
        1303  4.044798473651281E+052  0.472015380859375     
         703  4.044798473651281E+052  0.471771240234375     
         403  4.044798473651281E+052  0.471817016601562     
         603  4.044798473651281E+052  0.472137451171875     
        1403  4.044798473651281E+052  0.471954345703125     
         903  4.044798473651281E+052  0.471710205078125     
        1503  4.044798473651281E+052  0.472381591796875     
         503  4.044798473651281E+052  0.471878051757812     
        1003  4.044798473651281E+052  0.471954345703125     
         803  4.044798473651281E+052  0.472091674804688     
           5  4.044798473651281E+052  0.471405029296875     
         104  4.044798473651281E+052  0.471588134765625     
        1204  4.044798473651281E+052  0.472015380859375     
         204  4.044798473651281E+052  0.471649169921875     
         304  4.044798473651281E+052  0.471893310546875     
        1104  4.044798473651281E+052  0.471878051757812     
        1304  4.044798473651281E+052  0.472000122070312     
         704  4.044798473651281E+052  0.471710205078125     
           6  4.044798473651281E+052  0.471343994140625     
         404  4.044798473651281E+052  0.471847534179688     
         604  4.044798473651281E+052  0.472076416015625     
        1404  4.044798473651281E+052  0.472015380859375     
         904  4.044798473651281E+052  0.471771240234375     
        1504  4.044798473651281E+052  0.472320556640625     
         105  4.044798473651281E+052  0.471649169921875     
         504  4.044798473651281E+052  0.471908569335938     
        1004  4.044798473651281E+052  0.472015380859375     
        1205  4.044798473651281E+052  0.472000122070312     
         804  4.044798473651281E+052  0.472061157226562     
         205  4.044798473651281E+052  0.471588134765625     
         305  4.044798473651281E+052  0.471832275390625     
           7  4.044798473651281E+052  0.471405029296875     
        1105  4.044798473651281E+052  0.471908569335938     
         705  4.044798473651281E+052  0.471771240234375     
        1305  4.044798473651281E+052  0.472030639648438     
         106  4.044798473651281E+052  0.471588134765625     
         405  4.044798473651281E+052  0.471817016601562     
         605  4.044798473651281E+052  0.472137451171875     
        1405  4.044798473651281E+052  0.471954345703125     
         905  4.044798473651281E+052  0.471862792968750     
           8  4.044798473651281E+052  0.471343994140625     
        1505  4.044798473651281E+052  0.472381591796875     
        1206  4.044798473651281E+052  0.472030639648438     
         206  4.044798473651281E+052  0.471649169921875     
         306  4.044798473651281E+052  0.471893310546875     
        1106  4.044798473651281E+052  0.471878051757812     
        1005  4.044798473651281E+052  0.471954345703125     
         505  4.044798473651281E+052  0.471832275390625     
         107  4.044798473651281E+052  0.471649169921875     
         805  4.044798473651281E+052  0.472091674804688     
           9  4.044798473651281E+052  0.471405029296875     
         706  4.044798473651281E+052  0.471710205078125     
        1306  4.044798473651281E+052  0.472000122070312     
         406  4.044798473651281E+052  0.471847534179688     
         606  4.044798473651281E+052  0.472076416015625     
         906  4.044798473651281E+052  0.471832275390625     
        1406  4.044798473651281E+052  0.472015380859375     
        1107  4.044798473651281E+052  0.471908569335938     
         207  4.044798473651281E+052  0.471496582031250     
         307  4.044798473651281E+052  0.471832275390625     
        1506  4.044798473651281E+052  0.472320556640625     
